ISO,Queue ID,Project Name,State,County,Capacity (MW),Queue Date,Withdrawn Date,Generation Type,search_text,withdraw_year,Score,in_dc_state,matched_owner,is_dc_adjacent,ai_era_large,matched_dc,match_type,dc_epoch_year,years_before_dc
NYISO,1121,Werner - Ravenswood,NY,PJM/Queens,1200.0,2020-12-11 00:00:00+00:00,2022-06-30 00:00:00+00:00,DC Transmission,"Ravenswood Development, LLC Werner - Ravenswood",2022.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1157,Minerva Transmission,NY,Manhattan,1200.0,2021-04-09 00:00:00+00:00,2021-10-31 00:00:00+00:00,DC Transmission,Minerva Power Connection LLC Minerva Transmission,2021.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1175,OW Ocean Winds East 1,NY,Nassau,1200.0,2021-05-18 00:00:00+00:00,2024-07-31 00:00:00+00:00,Wind,"OW Ocean Winds East, LLC OW Ocean Winds East 1",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1176,OW Ocean Winds East 2,NY,Nassau,1200.0,2021-05-18 00:00:00+00:00,2024-07-31 00:00:00+00:00,Wind,"OW Ocean Winds East, LLC OW Ocean Winds East 2",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1206,NY Interconnection 2,NY,Queens,1200.0,2021-06-18 00:00:00+00:00,2024-07-31 00:00:00+00:00,Wind,NY Interconnection LLC NY Interconnection 2,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1207,NY Interconnection 1,NY,NY,1200.0,2021-06-18 00:00:00+00:00,2024-05-31 00:00:00+00:00,DC Transmission,NY Interconnection LLC NY Interconnection 1,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1469,Commodore,NY,Oneida County,1200.0,2022-11-17 00:00:00+00:00,2023-01-31 00:00:00+00:00,Energy Storage,YSG Commodore,2023.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1628,Hera Power Link 1200,NY,Kings,1200.0,2023-11-02 00:00:00+00:00,2024-04-30 00:00:00+00:00,DC Transmission,Anbaric Development Partners Hera Power Link 1200,2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,C24-001,Vineyard Mid-Atlantic East,NY,Nassau,1187.0,2024-08-01 00:00:00+00:00,2025-01-31 00:00:00+00:00,Wind,Vineyard Mid-Atlantic LLC Vineyard Mid-Atlantic East,2025.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,0668,Liberty Generating Alternative,NY,NY,1172.0,2017-09-15 00:00:00+00:00,2023-05-31 00:00:00+00:00,Combined Cycle,"North Bergen Liberty Generating, LLC Liberty Generating Alternative",2023.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
